Battery,Car_name,Efficiency,Fast_charge,Price,Range,Top_speed,Acceleration
49,MG ZS EV Standard Range,185,250,1204605.6,265,175,8.6
64,Toyota bZ4X AWD,203,470,2033901.6,315,160,6.9
89,Audi Q8 e-tron 50 quattro,209,660,2636736,425,200,6
63,Nissan Ariya 63kWh,188,450,1683045.6,335,160,7.5
54,Kia EV6 Standard Range 2WD,177,750,1665325.6,305,185,8.5
118,Lucid Air Dream Edition P,177,840,7725920,665,270,2.7
107,Volvo EX90 Twin Motor,230,610,3740692,465,180,5.9
66.5,Mercedes EQA 250,164,580,1799536.88,405,160,8.6
90,Mercedes EQV 300 Long,290,310,2538425.44,310,160,12.1
70.5,NIO ET7 75 kWh,176,540,2902536,400,200,3.8
91,Ford Mustang Mach-E ER AWD,204,390,2335496,445,180,5.8
52,Volkswagen ID.4 Pure,182,360,1429472.4,285,160,9
123,VinFast VF 9 Extended Range,237,520,3182157.6,520,200,6.5
90,NIO ET5 100 kWh,180,520,2427640,500,200,4
77,Skoda Enyaq 85x,175,660,1812756,440,180,6.6
79,Volvo C40 Recharge Twin Motor,198,600,2176016,400,180,4.7
75,Fisker Ocean Sport,197,480,1472886.4,380,160,7.4
96,Mercedes EQE SUV 500 4MATIC,211,630,3538365.04,455,210,4.9
49,Mini Cooper SE,158,440,1307736,310,170,6.7
72.6,Ford Mustang Mach-E SR RWD,191,460,1977552,380,180,7.3
79,Volvo C40 Recharge Single Motor ER,188,630,1929708,420,180,7.3
84.7,Jaguar I-Pace EV400,223,360,3274656,380,200,4.8
77,Skoda Enyaq Coupe RS,169,680,2243352,455,180,5.5
106.5,Fisker Ocean Extreme,201,630,2479028,530,205,3.9
89,Mercedes EQE 300,170,660,2381107.28,525,210,7.3
28.5,Honda e Advance,168,180,1414056,170,145,8.3
109,Lotus Eletre R,240,950,5351085.6,455,260,2.9
62,Smart #3 Brabus,188,510,1807085.6,330,180,3.7
50.8,Peugeot e-308 SW,169,450,1621911.6,300,150,9
108.4,Mercedes EQS SUV 450+,217,750,3926787.44,500,210,6.7
44.9,BYD DOLPHIN 44.9 kWh Boost,176,260,1160305.6,255,160,8
48.1,Opel Corsa Electric 51 kWh,153,490,1348314.8,315,150,8.1
56,SsangYong Korando e-Motion,193,330,1434965.6,290,156,8.5
77,Volkswagen ID.4 Pro 4MOTION,181,630,1737268.8,425,180,6.6
40,Renault Megane E-Tech EV40 130hp,154,370,1488480,260,150,10
47,Smart #1 Pro,184,330,1328645.6,255,180,6.7
50.8,Citroen e-C4 54 kWh,154,470,1472177.6,330,150,10
92,Lucid Air Touring,159,970,4571760,580,250,3.2
107,Volvo EX90 Twin Motor Performance,238,590,3921436,450,180,4.9
77,Volkswagen ID.4 GTX,183,630,1887357.2,420,180,5.4
66.5,Mercedes EQA 350 4MATIC,187,510,1999666.56,355,160,6
77,Skoda Enyaq Coupe 85x,164,700,1892496,470,180,6.6
70.5,Mercedes EQA 250+,164,600,1850145.2,430,160,8.6
108.4,Mercedes EQS 580 4MATIC,184,880,5022025.2,590,210,4.3
45,Renault Kangoo E-Tech Electric,205,230,1392792,220,132,12.6
48.1,Peugeot e-208 51 kWh,155,480,1303306,310,150,8.2
60,Aiways U5,190,380,1402112.72,315,150,7.5
48.4,Hyundai Kona Electric 48 kWh,167,280,1488125.6,290,160,7.8
